name,Region,year,y_diff,pop_n,pop_u,wat_bas_n,wat_bas_n(rounded),wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_bas_r(rounded),wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_bas_u(rounded),wat_lim_u,wat_unimp_u,wat_sur_u,ARC_N,ARC_N(full),ARC_N(filtered),ARC_R,ARC_R(full),ARC_R(filtered),ARC_U,ARC_U(full),ARC_U(filtered),ARC_DIFF
Indonesia,East Asia & Pacific,2015,,258383.25,53.31299973,88.52735296,89,0.7941305226,8.943859564,1.734656954,80.63079119,81,0.9740457315,14.98518808,3.409975001,95.44249176,95,0.6365760478,3.653376641,0.2675555532,0.77759933,,0.77759933,1.007434238,,1.007434238,0.427604062,,0.427604062,0.579830176
Indonesia,East Asia & Pacific,2020,5,273523.625,56.64099884,92.41534961,92,0.8554746335,5.553871666,1.175304087,85.66796238,86,1.17809123,10.61491462,2.539031772,97.58051207,98,0.6085098345,1.679615139,0.1313629588,,,,,,,,,,
Iran (Islamic Republic of),South Asia,2015,,78492.21094,73.35800171,96.80698708,97,1.994891573,1.126061081,0.07206026561,92.16250265,92,4.221624781,3.345396383,0.2704761905,98.49376087,98,1.186191432,0.3200476961,0,0.13512985,,0.13512985,0.333246546,,0.333246546,0.03014517,,0.03014517,0.303101376
Iran (Islamic Republic of),South Asia,2020,5,83992.95313,75.87400055,97.48263633,97,1.938311229,0.5137973631,0.06525508185,93.82873538,94,4.297948765,1.602839669,0.2704761905,98.64448672,99,1.188006671,0.1675066077,0,,,,,,,,,,
Iraq,Middle East & North Africa,2015,,35572.26953,69.92099762,94.2475933,94,1.056676215,1.737911036,2.95781945,84.76271011,85,2.830616935,2.77640479,9.630268161,98.3278526,98,0.2935526231,1.291166071,0.0874287017,0.82246199,,0.82246199,2.013687334,,2.013687334,0.296175686,,0.296175686,1.717511648
Iraq,Middle East & North Africa,2020,5,40222.50391,70.89299774,98.35990325,98,0.8921603495,0.000002427900808,0.7479339713,94.83114678,95,2.599251339,0,2.569601877,99.80873103,100,0.19126897,0,0,,,,,,,,,,
Ireland,Europe & Central Asia,2015,,4652.419922,62.5379982,97.37212799,97,0,2.627872008,0,98.01681619,98,0,1.983183812,0,96.98594181,97,0,3.014058189,0,0.005515704,,0.005515704,0.023620912,,0.023620912,-0.001211156,,-0.001211156,0.024832068
Ireland,Europe & Central Asia,2020,5,4937.795898,63.65299988,97.39970651,97,0,2.600293485,0,98.13492075,98,0,1.865079247,0,96.97988603,97,0,3.020113966,0,,,,,,,,,,
Isle of Man,Europe & Central Asia,2015,,83.23200226,52.24499893,99.075,99,0,0.925,0,null,null,null,null,null,null,null,null,null,null,0,,0,Null,,,Null,,,
Isle of Man,Europe & Central Asia,2020,5,85.03199768,52.89800262,99.075,99,0,0.925,0,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
Israel,Europe & Central Asia,2015,,7978.496094,92.17900085,100.0000015,100,0,0,0,100,100,0,0,0,100,100,0,0,0,-0.0000002999999992,Full access,,0,Full access,,0,Full access,,0
Israel,Europe & Central Asia,2020,5,8655.541016,92.58699799,100,100,0,0,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
Italy,Europe & Central Asia,2015,,60578.48828,69.56500244,99.91703407,100,0,0.08296592591,0,null,null,null,null,null,null,null,null,null,null,0,Full access,0,Null,,,Null,,,
Italy,Europe & Central Asia,2020,5,60461.82813,71.03899384,99.91703407,100,0,0.08296592591,0,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
